,cycle index,p_a,p_b,p_c,q_a,q_b,q_c,r_a,r_b,r_c,s_a,s_b,s_c,t_a,t_b,t_c
63,63,1539.995714577427,146.43500097139258,-0.0039030648219896564,-2522.3927974885332,226.0,-0.0003100219247104461,20968.996607748442,298.94379833544843,-0.012454915428934883,-3911.0255306200706,313.0,-0.0006543474412506452,2000.0,484.0,-1.0
64,64,2129.838360688198,142.20373328900604,-0.0024089500794439687,-2040.0690972122238,228.0,-0.0002596740617952775,21156.920308746896,297.69442061060874,-0.01189310183770095,-3214.0117523249264,313.0,-0.0003643451917186546,2000.0,479.0,-1.0
65,65,1947.3542292452235,142.80113907524938,-0.004198125683102994,-2393.469177792971,223.0,-0.00030890035829815837,20882.109332538927,297.92366559286046,-0.012414484138827753,-3319.195161559506,312.0,-0.00026961477183180826,2000.0,473.0,-1.0
66,66,2316.7489392238185,148.8564175217877,-0.004910825807550262,-2406.4637153234057,228.0,-0.00042998899419499176,20669.634314480998,298.2520286882249,-0.01222614044139528,-3995.0515665098796,313.0,-0.0005179884531647212,2000.0,502.0,-1.0
67,67,2017.7975626136129,148.9557549789082,-0.003702747171312698,-2310.5665828984984,229.0,-0.0004388495589491862,20953.80945349766,298.0476280222578,-0.012434646742271746,-3612.545988957435,313.0,-0.00048786563205371663,2000.0,484.0,-1.0
68,68,1845.4786066706513,144.8279062024112,-0.0036719897666526095,-2380.6093167988156,226.0,-0.0003648246046775977,20559.20129780843,298.36528807772555,-0.012026116060781003,-4410.058027887083,313.0,-0.0007870100707194981,3909.515445122971,568.9271414082773,-0.0004109992747700349
69,69,1858.3174500212667,146.8217104788609,-0.0033435038799089324,-2292.3556469698574,228.0,-0.00030934441441359244,20684.079487822477,298.25017603698853,-0.01199953199935907,-5366.874214949262,324.0505182147788,-0.009498939825776962,2000.0,465.0,-1.0
70,70,1771.7497344893188,146.7862262644425,-0.0038370952157056326,-2482.172350282922,225.99999999999997,-0.0003151717060450484,21091.031388796204,298.7586782842037,-0.012438611687334273,-3797.9670716319615,313.0,-0.00039937908997067316,2000.0,497.0,-1.0
71,71,1911.3719196100487,147.67708791446333,-0.0057715784243037955,-2000.0,202.0,-1.0,2000.0,205.0,-1.0,-2438.558213312314,226.0,-0.00032390674908175235,20259.815091931185,297.8993315864267,-0.012450423109559575
72,72,2000.0,162.0,-1.0,-2000.0,167.0,-1.0,1649.6805040121421,148.0462591602462,-0.010150568389384041,-2000.0,201.0,-1.0,2000.0,203.0,-1.0
